questionID,isFree,category,subCategory,conceptID,format,prompt,correctChoice,sourceIDs,lawBasis,subject,timing,numbers,exceptions,distractors,explanations,reviewer,reviewedAt,decision,notes
takken2026.v26.gyoho.0001,True,宅建業法,37条書面,official.gyoho.c80882.001,wording_contrast,【37条書面】「37条書面には宅建士記名」について、正確な記述を選んでください。,37条書面には、宅建士の記名が必要です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0002,False,宅建業法,37条書面,official.gyoho.c80882.001,multiple_choice,【37条書面】「37条書面には宅建士記名」に関する次の記述のうち、正しいものを選んでください。,37条書面には、宅建士の記名が必要です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0003,False,宅建業法,37条書面,official.gyoho.c80882.001,case_study,【37条書面・事例】宅建業者Aが宅地の売買を媒介し、売主Bと買主Cの契約が成立しました。 次の記述のうち、最も適切なものを選んでください。,37条書面には、宅建士の記名が必要です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0004,False,宅建業法,37条書面,official.gyoho.c80882.002,true_false,"【37条書面】次の記述は正しいですか。
37条書面には宅建士の記名が必要ですが、35条のような宅建士による口頭説明義務とは区別されます。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0005,False,宅建業法,37条書面,official.gyoho.c80882.002,multiple_choice,【37条書面】「37条は説明義務ではなく書面交付」に関する次の記述のうち、正しいものを選んでください。,37条書面には宅建士の記名が必要ですが、35条のような宅建士による口頭説明義務とは区別されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0006,False,宅建業法,37条書面,official.gyoho.c80882.002,case_study,【37条書面・事例】宅建業者Aが宅地の売買を媒介し、売主Bと買主Cの契約が成立しました。 次の記述のうち、最も適切なものを選んでください。,37条書面には宅建士の記名が必要ですが、35条のような宅建士による口頭説明義務とは区別されます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0007,True,宅建業法,37条書面,official.gyoho.c80882.003,true_false,"【37条書面】次の記述は正しいですか。
宅建業者が媒介した場合は、契約の各当事者に37条書面を交付します。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0008,False,宅建業法,37条書面,official.gyoho.c80882.003,wording_contrast,【37条書面】「媒介では双方に交付」について、正確な記述を選んでください。,宅建業者が媒介した場合は、契約の各当事者に37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0009,False,宅建業法,37条書面,official.gyoho.c80882.003,multiple_choice,【37条書面】「媒介では双方に交付」に関する次の記述のうち、正しいものを選んでください。,宅建業者が媒介した場合は、契約の各当事者に37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0010,False,宅建業法,37条書面,official.gyoho.c80882.004,true_false,"【37条書面】次の記述は正しいですか。
契約前に説明するのは35条の重要事項説明であり、37条書面は契約成立後の書面です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0011,True,宅建業法,37条書面,official.gyoho.c80882.004,multiple_choice,【37条書面】「35条と37条を区別」に関する次の記述のうち、正しいものを選んでください。,契約前に説明するのは35条の重要事項説明であり、37条書面は契約成立後の書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0012,False,宅建業法,37条書面,official.gyoho.c80882.004,case_study,【37条書面・事例】宅建業者Aが宅地の売買を媒介し、売主Bと買主Cの契約が成立しました。 次の記述のうち、最も適切なものを選んでください。,契約前に説明するのは35条の重要事項説明であり、37条書面は契約成立後の書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0013,False,宅建業法,37条書面,official.gyoho.c80882.005,true_false,"【37条書面】次の記述は正しいですか。
37条書面は、契約成立後に遅滞なく交付します。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0014,False,宅建業法,37条書面,official.gyoho.c80882.005,wording_contrast,【37条書面】「37条は契約後」について、正確な記述を選んでください。,37条書面は、契約成立後に遅滞なく交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0015,False,宅建業法,37条書面,official.gyoho.c80882.005,multiple_choice,【37条書面】「37条は契約後」に関する次の記述のうち、正しいものを選んでください。,37条書面は、契約成立後に遅滞なく交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0016,True,宅建業法,37条書面,official.gyoho.c80882.006,true_false,"【37条書面】次の記述は正しいですか。
37条書面は、宅地・建物の売買・交換・貸借の契約成立後に交付する書面です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0017,False,宅建業法,37条書面,official.gyoho.c80882.006,multiple_choice,【37条書面】「売買・交換・貸借で37条」に関する次の記述のうち、正しいものを選んでください。,37条書面は、宅地・建物の売買・交換・貸借の契約成立後に交付する書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0018,False,宅建業法,37条書面,official.gyoho.c80882.006,case_study,【37条書面・事例】宅建業者Aが宅地の売買を媒介し、売主Bと買主Cの契約が成立しました。 次の記述のうち、最も適切なものを選んでください。,37条書面は、宅地・建物の売買・交換・貸借の契約成立後に交付する書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0019,False,宅建業法,37条書面,official.gyoho.c80882.007,true_false,"【37条書面】次の記述は正しいですか。
宅建業者が自ら契約当事者となる場合も、相手方に37条書面を交付します。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0020,True,宅建業法,37条書面,official.gyoho.c80882.007,multiple_choice,【37条書面】「自ら売主でも37条」に関する次の記述のうち、正しいものを選んでください。,宅建業者が自ら契約当事者となる場合も、相手方に37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0021,False,宅建業法,37条書面,official.gyoho.c80882.007,case_study,【37条書面・事例】宅建業者Aが宅地の売買を媒介し、売主Bと買主Cの契約が成立しました。 次の記述のうち、最も適切なものを選んでください。,宅建業者が自ら契約当事者となる場合も、相手方に37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0022,False,宅建業法,37条書面,official.gyoho.c80882.008,true_false,"【37条書面】次の記述は正しいですか。
37条書面は、成立した契約内容を明確にするための書面です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0023,False,宅建業法,37条書面,official.gyoho.c80882.008,wording_contrast,【37条書面】「37条は契約内容の確認」について、正確な記述を選んでください。,37条書面は、成立した契約内容を明確にするための書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0024,False,宅建業法,37条書面,official.gyoho.c80882.008,multiple_choice,【37条書面】「37条は契約内容の確認」に関する次の記述のうち、正しいものを選んでください。,37条書面は、成立した契約内容を明確にするための書面です。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0025,False,宅建業法,37条書面,official.gyoho.c80882.009,true_false,"【37条書面】次の記述は正しいですか。
契約が口頭で成立した場合でも、宅建業者は37条書面を交付する必要はありません。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0026,False,宅建業法,37条書面,official.gyoho.c80882.009,wording_contrast,【37条書面】「口頭契約でも37条書面」について、正確な記述を選んでください。,契約が口頭で成立した場合でも、宅建業者は37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0027,False,宅建業法,37条書面,official.gyoho.c80882.009,multiple_choice,【37条書面】「口頭契約でも37条書面」に関する次の記述のうち、正しいものを選んでください。,契約が口頭で成立した場合でも、宅建業者は37条書面を交付します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0028,False,宅建業法,37条書面,official.gyoho.c80882.010,true_false,"【37条書面】次の記述は正しいですか。
一定の条件を満たせば、37条書面を電磁的方法で提供できます。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0029,False,宅建業法,37条書面,official.gyoho.c80882.010,wording_contrast,【37条書面】「電子提供は条件付き」について、正確な記述を選んでください。,一定の条件を満たせば、37条書面を電磁的方法で提供できます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0030,False,宅建業法,37条書面,official.gyoho.c80882.010,multiple_choice,【37条書面】「電子提供は条件付き」に関する次の記述のうち、正しいものを選んでください。,一定の条件を満たせば、37条書面を電磁的方法で提供できます。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0031,False,宅建業法,37条書面,official.gyoho.c80882.011,true_false,"【37条書面】次の記述は正しいですか。
ローンあっせんに関する定めがある場合、その内容は37条書面の記載事項になります。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0032,False,宅建業法,37条書面,official.gyoho.c80882.011,wording_contrast,【37条書面】「ローンあっせんの定め」について、正確な記述を選んでください。,ローンあっせんに関する定めがある場合、その内容は37条書面の記載事項になります。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0033,False,宅建業法,37条書面,official.gyoho.c80882.012,true_false,"【37条書面】次の記述は正しいですか。
契約解除に関する定めがある場合、37条書面に記載する必要はありません。",誤り,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0034,False,宅建業法,37条書面,official.gyoho.c80882.012,wording_contrast,【37条書面】「解除の定めは37条」について、正確な記述を選んでください。,契約解除に関する定めがある場合、37条書面に記載します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0035,False,宅建業法,37条書面,official.gyoho.c80882.012,multiple_choice,【37条書面】「解除の定めは37条」に関する次の記述のうち、正しいものを選んでください。,契約解除に関する定めがある場合、37条書面に記載します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0036,False,宅建業法,37条書面,official.gyoho.c80882.013,true_false,"【37条書面】次の記述は正しいですか。
37条書面には、契約当事者の氏名・住所などを記載します。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0037,False,宅建業法,37条書面,official.gyoho.c80882.013,wording_contrast,【37条書面】「当事者情報は37条」について、正確な記述を選んでください。,37条書面には、契約当事者の氏名・住所などを記載します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0038,False,宅建業法,37条書面,official.gyoho.c80882.013,multiple_choice,【37条書面】「当事者情報は37条」に関する次の記述のうち、正しいものを選んでください。,37条書面には、契約当事者の氏名・住所などを記載します。,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0039,False,宅建業法,37条書面,official.gyoho.c80882.014,true_false,"【37条書面】次の記述は正しいですか。
売買では、代金の額、支払時期、支払方法などが37条書面の記載事項です。",正しい,egov.takken,,,,,,,,,,,
takken2026.v26.gyoho.0040,False,宅建業法,37条書面,official.gyoho.c80882.014,wording_contrast,【37条書面】「代金は37条」について、正確な記述を選んでください。,売買では、代金の額、支払時期、支払方法などが37条書面の記載事項です。,egov.takken,,,,,,,,,,,
