priority,questionID,isFree,category,subCategory,format,conceptID,reason
P0,takken2026.v26.gyoho.0001,True,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.001,無料見本のため最優先
P1,takken2026.v26.gyoho.0002,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.001,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0003,False,宅建業法,37条書面,case_study,official.gyoho.c80882.001,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0004,False,宅建業法,37条書面,true_false,official.gyoho.c80882.002,通常全問校閲
P1,takken2026.v26.gyoho.0005,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.002,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0006,False,宅建業法,37条書面,case_study,official.gyoho.c80882.002,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0007,True,宅建業法,37条書面,true_false,official.gyoho.c80882.003,無料見本のため最優先
P2,takken2026.v26.gyoho.0008,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.003,通常全問校閲
P1,takken2026.v26.gyoho.0009,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.003,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0010,False,宅建業法,37条書面,true_false,official.gyoho.c80882.004,通常全問校閲
P0,takken2026.v26.gyoho.0011,True,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.004,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0012,False,宅建業法,37条書面,case_study,official.gyoho.c80882.004,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0013,False,宅建業法,37条書面,true_false,official.gyoho.c80882.005,通常全問校閲
P2,takken2026.v26.gyoho.0014,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.005,通常全問校閲
P1,takken2026.v26.gyoho.0015,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.005,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0016,True,宅建業法,37条書面,true_false,official.gyoho.c80882.006,無料見本のため最優先
P1,takken2026.v26.gyoho.0017,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.006,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0018,False,宅建業法,37条書面,case_study,official.gyoho.c80882.006,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0019,False,宅建業法,37条書面,true_false,official.gyoho.c80882.007,通常全問校閲
P0,takken2026.v26.gyoho.0020,True,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.007,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0021,False,宅建業法,37条書面,case_study,official.gyoho.c80882.007,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0022,False,宅建業法,37条書面,true_false,official.gyoho.c80882.008,通常全問校閲
P2,takken2026.v26.gyoho.0023,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.008,通常全問校閲
P1,takken2026.v26.gyoho.0024,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.008,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0025,False,宅建業法,37条書面,true_false,official.gyoho.c80882.009,通常全問校閲
P2,takken2026.v26.gyoho.0026,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.009,通常全問校閲
P1,takken2026.v26.gyoho.0027,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.009,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0028,False,宅建業法,37条書面,true_false,official.gyoho.c80882.010,通常全問校閲
P2,takken2026.v26.gyoho.0029,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.010,通常全問校閲
P1,takken2026.v26.gyoho.0030,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.010,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0031,False,宅建業法,37条書面,true_false,official.gyoho.c80882.011,通常全問校閲
P2,takken2026.v26.gyoho.0032,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.011,通常全問校閲
P2,takken2026.v26.gyoho.0033,False,宅建業法,37条書面,true_false,official.gyoho.c80882.012,通常全問校閲
P2,takken2026.v26.gyoho.0034,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.012,通常全問校閲
P1,takken2026.v26.gyoho.0035,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.012,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0036,False,宅建業法,37条書面,true_false,official.gyoho.c80882.013,通常全問校閲
P2,takken2026.v26.gyoho.0037,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.013,通常全問校閲
P1,takken2026.v26.gyoho.0038,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.013,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0039,False,宅建業法,37条書面,true_false,official.gyoho.c80882.014,通常全問校閲
P2,takken2026.v26.gyoho.0040,False,宅建業法,37条書面,wording_contrast,official.gyoho.c80882.014,通常全問校閲
P1,takken2026.v26.gyoho.0041,False,宅建業法,37条書面,multiple_choice,official.gyoho.c80882.014,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0042,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.015,通常全問校閲
P1,takken2026.v26.gyoho.0043,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.015,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0044,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.015,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0045,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.016,通常全問校閲
P1,takken2026.v26.gyoho.0046,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.016,全誤答肢の法的妥当性確認
P0,takken2026.v26.gyoho.0047,True,宅建業法,8種制限,case_study,official.gyoho.9cf105.016,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0048,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.017,通常全問校閲
P2,takken2026.v26.gyoho.0049,False,宅建業法,8種制限,number_choice,official.gyoho.9cf105.017,通常全問校閲
P1,takken2026.v26.gyoho.0050,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.017,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0051,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.018,通常全問校閲
P0,takken2026.v26.gyoho.0052,True,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.018,無料見本のため最優先 / 全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0053,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.018,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0054,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.019,通常全問校閲
P2,takken2026.v26.gyoho.0055,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.019,通常全問校閲
P1,takken2026.v26.gyoho.0056,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.019,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0057,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.020,通常全問校閲
P1,takken2026.v26.gyoho.0058,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.020,全誤答肢の法的妥当性確認
P1,takken2026.v26.gyoho.0059,False,宅建業法,8種制限,case_study,official.gyoho.9cf105.020,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0060,False,宅建業法,8種制限,true_false,official.gyoho.9cf105.021,通常全問校閲
P0,takken2026.v26.gyoho.0061,True,宅建業法,8種制限,number_choice,official.gyoho.9cf105.021,無料見本のため最優先
P1,takken2026.v26.gyoho.0062,False,宅建業法,8種制限,multiple_choice,official.gyoho.9cf105.021,全誤答肢の法的妥当性確認
P2,takken2026.v26.gyoho.0063,False,宅建業法,8種制限,wording_contrast,official.gyoho.9cf105.022,通常全問校閲
P2,takken2026.v26.gyoho.0064,False,宅建業法,8種制限,number_choice,official.gyoho.9cf105.022,通常全問校閲
